"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
1116,543037,"Cole, Gerrit",1984,56.3,0.201,0.142,0.269,0.343,0.28,0.309,0.22,51,254,90.4,20.4,2432,96.8,96.57,136,554,562,-0.20000000000000284,6.31,113,149,118,151,298,329,290
1106,675911,"Strider, Spencer",1880,58.8,0.262,0.194,0.347,0.456,0.336,0.33,0.246,62,237,90.7,20.7,2376,97.2,97.11,189,619,487,-0.10000000000000853,7.01,113,149,120,150,308,326,302
1054,669022,"Gore, MacKenzie",1745,60.4,0.295,0.212,0.349,0.507,0.376,0.377,0.286,64,217,89.3,15.3,2292,95.1,96.2,114,525,529,1.1000000000000085,7.05,114,149,116,146,309,333,308
1031,657746,"Ryan, Joe",1770,58.2,0.217,0.17,0.28,0.387,0.281,0.262,0.204,50,230,91.4,26.1,2204,92.5,92.8,165,600,431,0.29999999999999716,6.54,112,148,122,150,301,327,295
986,656629,"Kopech, Michael",1578,62.5,0.217,0.228,0.248,0.444,0.374,0.39,0.223,39,180,90.6,21.7,2514,95.6,96.31,128,436,550,0.7000000000000028,6.83,110,149,113,147,297,321,297
977,592332,"Gausman, Kevin",1904,51.3,0.234,0.139,0.293,0.373,0.289,0.346,0.265,57,244,92.6,17.9,2279,94.7,94.73,85,500,477,0,6.51,110,150,121,148,291,327,289
973,664299,"Javier, Cristian",1653,58.9,0.258,0.21,0.284,0.468,0.335,0.344,0.247,64,248,89.5,23.2,2242,92.6,91.14,139,557,416,-1.5,6.08,110,149,114,148,294,324,293
968,669203,"Burnes, Corbin",1795,53.9,0.229,0.143,0.257,0.372,0.315,0.346,0.255,51,223,87.2,14.7,2653,94.4,95.19,115,453,515,0.7999999999999972,6.55,111,149,115,148,296,322,293
956,571760,"Heaney, Andrew",1613,59.3,0.205,0.216,0.234,0.421,0.326,0.331,0.211,35,171,91.2,23.7,2414,92.5,92.26,109,429,527,-0.20000000000000284,6.47,113,151,118,148,301,332,299
943,605483,"Snell, Blake",1845,51.1,0.287,0.166,0.351,0.453,0.382,0.409,0.295,52,181,91.4,17.6,2422,95.3,95.94,69,380,563,0.6000000000000085,6.87,112,150,117,148,298,320,291
913,642547,"Peralta, Freddy",1721,53.1,0.24,0.208,0.292,0.448,0.335,0.31,0.225,46,192,87.2,16.7,2406,94.5,95.63,119,458,455,1.0999999999999943,6.94,112,149,115,148,297,325,294
903,657006,"Steele, Justin",1430,63.1,0.251,0.114,0.305,0.365,0.294,0.302,0.253,55,219,85.7,12.1,2397,91.9,86.32,109,491,412,-5.6000000000000085,6.3,106,152,114,149,301,323,287
903,676664,"Sears, JP",1738,52,0.231,0.231,0.252,0.462,0.325,0.335,0.232,46,199,90.6,23.8,2160,92.9,93.29,103,479,424,0.3999999999999915,6.54,111,149,116,149,298,319,292
901,663903,"Singer, Brady",1715,52.5,0.317,0.201,0.347,0.518,0.383,0.378,0.309,63,199,92.4,8.9,2276,92.3,93.79,38,342,559,1.5,7.05,110,148,116,147,298,329,299
901,668678,"Gallen, Zac",1886,47.8,0.221,0.083,0.269,0.304,0.258,0.305,0.24,45,204,90.4,18.7,2314,93.6,93.88,87,419,482,0.30000000000001137,6.53,111,150,118,149,302,320,296
895,669194,"Nelson, Ryne",1650,54.2,0.301,0.204,0.329,0.505,0.367,0.357,0.282,65,216,92.5,15.6,2203,94.5,95.14,83,495,400,0.5999999999999943,6.68,112,149,117,149,300,321,295
842,664285,"Valdez, Framber",1747,48.2,0.267,0.106,0.291,0.373,0.31,0.363,0.299,58,217,92.1,2.7,2207,95.6,93.97,52,380,462,-1.5999999999999943,5.91,108,150,113,147,294,321,288
833,608337,"Giolito, Lucas",1835,45.4,0.228,0.169,0.285,0.397,0.308,0.332,0.246,43,189,90.5,20.8,2157,93,94.11,82,394,439,1.0999999999999943,6.96,111,149,114,149,297,320,293
823,666200,"Luzardo, Jesús",1878,43.8,0.234,0.141,0.273,0.375,0.301,0.324,0.248,45,192,90.1,19.9,2253,96.8,95.45,79,426,397,-1.2999999999999972,5.69,109,151,117,149,304,319,294
820,668933,"Ashcraft, Graham",1464,56,0.306,0.148,0.314,0.454,0.369,0.376,0.309,60,196,89.2,0.7,2460,96.1,95.13,64,401,419,-1,5.69,111,147,123,149,293,321,293
818,573186,"Stroman, Marcus",1802,45.4,0.214,0.063,0.243,0.277,0.27,0.331,0.275,44,206,91.6,-1.7,2303,91.5,87.29,55,379,439,-4.200000000000003,5.82,112,149,114,151,299,322,293
802,622491,"Castillo, Luis",1829,43.8,0.162,0.201,0.216,0.364,0.266,0.301,0.184,25,154,92.1,30.3,2324,96.2,94.71,157,444,358,-1.5,5.59,112,147,118,147,290,320,300
799,458681,"Lynn, Lance",1921,41.6,0.265,0.277,0.345,0.542,0.371,0.346,0.242,41,155,91.3,23,2425,92.5,92.95,141,413,386,0.4000000000000057,6.54,110,149,113,148,295,320,298
796,656302,"Cease, Dylan",1958,40.7,0.261,0.161,0.33,0.422,0.351,0.345,0.244,42,161,92.1,18.5,2514,95.5,95.44,83,384,412,-0.09999999999999432,6.28,108,149,113,148,296,319,297
791,656302,"Cease, Dylan",1958,40.4,0.211,0.151,0.292,0.362,0.28,0.28,0.225,39,185,89.2,14.9,2794,86.2,86.35,161,400,391,0.20000000000000284,6.26,109,150,116,148,296,319,296
791,554430,"Wheeler, Zack",1909,41.4,0.229,0.145,0.32,0.373,0.283,0.266,0.199,38,166,89.4,18.2,2496,95.9,97.62,122,399,392,1.6999999999999886,7.23,115,147,115,150,292,322,295
790,592767,"Smyly, Drew",1650,47.9,0.228,0.168,0.29,0.396,0.285,0.244,0.199,46,202,85.2,17.6,2073,78.1,77.2,117,359,431,-0.8999999999999915,5.6,108,151,115,149,302,324,290
785,450203,"Morton, Charlie",1745,45,0.167,0.094,0.257,0.26,0.219,0.232,0.176,32,192,84.9,5.9,3081,82.3,81.9,142,351,434,-0.3999999999999915,6.13,110,149,119,150,308,328,303
769,686610,"Waldichuk, Ken",1428,53.9,0.322,0.283,0.328,0.605,0.443,0.394,0.266,49,152,90.2,16.2,2287,93.2,94.23,61,364,405,1,6.94,109,147,114,147,301,322,293
767,592866,"Williams, Trevor",1621,47.3,0.267,0.262,0.284,0.528,0.359,0.364,0.276,52,195,90.9,19.7,2206,90,90.77,66,412,355,0.7999999999999972,6.75,120,148,117,148,306,330,309
