rank,name,age,earnings,cup,events,rounds,cuts,top10,wins,score,ddis,dacc,girr,putts,sand,birds,year
1,Rory McIlroy,33,"$5,333,286",1010,7,20,5,3,1,70.3,326.6,53.9,63.9,1.791,48.1,3.950,2023
2,Brandon Matthews,28,"$86,549",42,16,37,4,0,0,71.7,320.4,47.0,64.9,1.785,33.9,3.568,2023
3,Cameron Young,25,"$4,002,275",672,10,36,10,3,0,70.0,316.3,58.9,68.4,1.736,40.0,4.750,2023
4,Cameron Champ,27,"$361,296",91,12,28,2,1,0,72.3,315.1,53.6,63.5,1.809,39.5,3.250,2023
4,Matti Schmid,25,"$328,823",117,14,39,5,1,0,71.7,315.1,56.2,65.1,1.779,45.3,3.667,2023
6,Jhonattan Vegas,38,"$375,361",112,7,23,4,0,0,70.9,313.7,54.1,67.4,1.796,44.7,3.652,2023
7,Wyndham Clark,29,"$1,948,049",535,15,56,13,4,0,69.7,313.0,54.0,67.9,1.734,52.8,4.036,2023
8,Gary Woodland,38,"$1,274,323",244,13,43,9,2,0,71.2,312.5,58.6,68.3,1.817,39.3,3.395,2023
9,Jon Rahm,28,"$13,288,540",2631,10,33,9,7,4,68.2,312.2,60.9,72.7,1.690,55.0,5.152,2023
9,Trevor Cone,30,"$81,921",23,13,38,5,0,0,71.4,312.2,52.4,67.5,1.816,50.7,3.447,2023
11,Byeong Hun An,31,"$1,263,286",433,17,59,13,2,0,70.1,311.8,49.9,62.7,1.713,66.3,4.017,2023
12,Dean Burmester,33,"$576,165",212,8,0,7,1,0,0.0,311.6,57.8,70.7,1.736,43.2,0.000,2023
13,Kyle Westmoreland,--,"$212,845",77,15,41,5,0,0,71.3,310.8,47.4,67.1,1.778,46.3,3.707,2023
14,Davis Thompson,23,"$1,555,980",487,13,42,10,2,0,70.5,310.7,57.5,66.3,1.776,58.9,3.667,2023
15,Trey Mullinax,30,"$1,326,865",272,14,41,7,2,0,71.9,310.5,46.3,62.3,1.793,41.4,3.634,2023
16,Cam Davis,28,"$1,289,912",252,13,35,6,1,0,70.5,310.0,53.5,65.9,1.771,64.0,3.743,2023
17,Luke List,38,"$650,670",186,15,47,8,0,0,71.1,309.9,53.1,69.4,1.807,40.6,3.404,2023
17,Keith Mitchell,31,"$2,025,379",450,14,48,12,3,0,69.9,309.9,65.7,66.9,1.723,54.8,4.125,2023
19,Sam Burns,26,"$5,425,641",984,12,37,9,4,1,70.3,309.2,60.0,64.1,1.731,48.9,4.189,2023
20,Scottie Scheffler,26,"$12,063,495",1844,11,40,11,8,2,68.4,308.7,64.3,74.0,1.734,35.7,4.550,2023
21,Vincent Norrman,25,"$190,251",87,14,41,6,0,0,70.8,308.5,54.3,66.9,1.771,44.4,4.000,2023
22,Patrick Cantlay,31,"$4,164,400",821,9,30,8,4,0,68.9,308.3,66.0,72.2,1.733,43.5,5.033,2023
23,Brent Grant,27,"$323,048",142,16,44,6,1,0,71.3,308.1,62.7,66.3,1.792,45.9,3.977,2023
24,Augusto Núñez,30,"$264,955",118,16,49,8,0,0,70.9,308.0,54.6,67.7,1.822,51.4,3.429,2023
